All Students	83177	10865	665	1236	2784	6178	16078	77964	59732	7369	76.61484787850803	13.933353855625674	9.451798265866298
American Indian	2248	232	31	59	144	321	546	1934	1092	287	56.46328852119959	28.697001034126163	14.839710444674251
Asian/Pacific Islanders	7104	1180	52	96	144	379	1314	6970	5697	602	81.73601147776183	9.626972740315638	8.637015781922525
Asian	6641	1006	46	77	124	338	1153	6494	5382	527	82.87650138589467	9.00831536803203	8.115183246073299
Pacific Islanders	463	174	6	19	20	41	161	476	315	75	66.17647058823529	18.067226890756302	15.756302521008402
Black	4714	825	50	88	202	513	1364	4175	2732	590	65.437125748503	20.4311377245509	14.131736526946106
Hispanic	11130	1846	152	282	601	1136	2680	10296	6639	1486	64.48135198135199	21.085858585858585	14.432789432789434
White	56404	6356	356	667	1639	3709	9699	53061	42447	4243	79.99660767795555	12.006935413957521	7.996456908086919
Two or More Races	1577	426	24	44	54	120	475	1528	1125	161	73.62565445026178	15.837696335078533	10.536649214659684
Special Ed	9638	868	72	168	435	1010	2285	8221	4650	1886	56.56246198759275	20.49628998905243	22.941248023354824
Bilingual	4356	1053	89	176	297	575	1217	4192	2199	856	52.457061068702295	27.123091603053435	20.419847328244277
Low Income	38232	4657	301	727	1855	4236	8487	34402	22432	4851	65.20551130748213	20.69356432765537	14.100924364862507
Title I Migrant	1998	276	22	43	101	204	391	1883	1210	303	64.259160913436	19.649495485926714	16.09134360063728
504	2110	107	0	0	43	139	212	2005	1611	212	80.34912718204488	9.077306733167083	10.57356608478803
Female	40504	5306	292	574	1250	2592	7373	38437	30775	2954	80.06608216041835	12.248614616125089	7.685303223456565
Male	42673	5559	373	662	1534	3586	8705	39527	28957	4415	73.25878513421206	15.571634578895438	11.169580286892504
