All Students	79450	14665	767	1363	2730	5786	15657	78458	60552	7260	77.17759820540925	13.569043309796324	9.253358484794411
American Indian	1437	277	31	65	87	176	375	1339	760	220	56.75877520537714	26.81105302464526	16.430171769977594
Asian/Pacific Islanders	6236	1587	60	100	130	338	1232	6591	5438	525	82.50644818692156	9.528144439387043	7.965407373691398
Asian	5655	1365	51	86	100	259	1066	5954	5027	431	84.43063486731609	8.330534094726234	7.2388310379576755
Pacific Islanders	581	222	9	14	30	79	166	637	411	94	64.52119309262166	20.722135007849293	14.756671899529042
Black	3842	1032	63	89	166	400	1168	3706	2487	501	67.10739341608203	19.373988127361034	13.518618456556936
Hispanic	12554	3166	216	299	662	1317	3096	12624	8415	1715	66.65874524714829	19.756020278833965	13.585234474017744
White	51722	7956	361	763	1580	3256	9080	50598	40661	3977	80.36088382940038	11.779121704415195	7.8599944661844345
Two or More Races	3586	610	21	40	103	297	624	3572	2790	321	78.10750279955208	12.905935050391937	8.98656215005599
Special Ed	9314	1396	80	182	484	966	2182	8528	4914	1902	57.62195121951219	20.075046904315197	22.30300187617261
Bilingual	3831	1978	113	198	297	554	1306	4503	2428	913	53.919609149455916	25.805018876304686	20.275371974239395
Low Income	37772	7314	368	872	1931	4176	8314	36772	24338	5087	66.1862286522354	19.97987599260307	13.833895355161536
Title I Migrant	2056	557	34	55	119	228	420	2193	1370	387	62.47150022799818	19.881440948472413	17.647058823529413
504	2821	253	0	15	57	220	350	2724	2127	305	78.08370044052863	10.719530102790015	11.19676945668135
Female	38928	7060	356	625	1188	2397	7226	38762	31286	2910	80.71306950105773	11.779577937154945	7.507352561787317
Male	40522	7605	411	738	1542	3389	8431	39696	29266	4350	73.72531237404273	15.31640467553406	10.958282950423216
