Adams	321	0	7	14	23	255	22	79.43925233644859	13.707165109034266	6.853582554517133
Asotin	271	4	6	9	33	194	25	71.58671586715867	19.18819188191882	9.22509225092251
Benton	2486	21	31	91	131	1933	279	77.75543041029766	11.021721641190668	11.222847948511665
Chelan	919	10	11	36	101	690	71	75.0816104461371	17.19260065288357	7.725788900979326
Clallam	1822	68	107	258	394	707	288	38.80351262349067	45.38968166849616	15.806805708013172
Clark	5518	35	89	170	481	4399	344	79.72091337441101	14.04494382022472	6.234142805364263
Columbia	45	0	0	1	0	41	3	91.11111111111111	2.2222222222222223	6.666666666666667
Cowlitz	1273	7	17	32	94	1023	100	80.36135113904163	11.78318931657502	7.855459544383346
Douglas	460	2	2	4	32	388	32	84.34782608695653	8.695652173913043	6.956521739130435
Ferry	81	0	5	1	3	66	6	81.48148148148148	11.11111111111111	7.4074074074074066
Franklin	1083	21	24	60	100	739	139	68.23638042474607	18.928901200369346	12.834718374884579
Garfield	24	0	0	0	0	22	2	91.66666666666666	0.0	8.333333333333332
Grant	1296	24	27	61	99	954	131	73.61111111111111	16.280864197530864	10.108024691358025
Grays Harbor	817	3	10	47	87	566	104	69.27784577723378	17.99265605875153	12.729498164014688
Island	641	4	3	7	35	531	61	82.8393135725429	7.644305772230889	9.51638065522621
Jefferson	256	1	2	3	13	211	26	82.421875	7.421875	10.15625
King	18950	161	281	491	1151	15114	1752	79.75725593667546	10.997361477572559	9.24538258575198
Kitsap	2954	6	26	49	166	2392	315	80.97494922139472	8.361543669600541	10.66350710900474
Kittitas	431	10	22	21	40	322	16	74.70997679814386	21.57772621809745	3.7122969837587005
Klickitat	259	0	8	9	13	189	40	72.97297297297297	11.583011583011583	15.444015444015443
Lewis	973	4	12	47	112	733	65	75.33401849948612	17.985611510791365	6.680369989722508
Lincoln	150	3	1	3	3	133	7	88.66666666666667	6.666666666666667	4.666666666666667
Mason	638	5	9	18	61	437	108	68.49529780564264	14.576802507836991	16.927899686520377
Okanogan	490	5	6	19	43	380	37	77.55102040816327	14.897959183673471	7.551020408163265
Pacific	247	4	8	14	41	166	14	67.20647773279353	27.125506072874494	5.668016194331984
Pend Oreille	148	0	2	2	6	129	9	87.16216216216216	6.756756756756757	6.081081081081082
Pierce	9156	81	167	355	904	6773	876	73.97335080821318	16.459152468326778	9.567496723460026
San Juan	136	0	1	3	7	119	6	87.5	8.088235294117647	4.411764705882353
Skagit	1465	9	44	78	143	1040	151	70.98976109215018	18.703071672354948	10.30716723549488
Skamania	167	0	3	38	45	72	9	43.11377245508982	51.49700598802395	5.389221556886228
Snohomish	8546	44	86	252	694	6533	937	76.44512052422185	12.590685700912708	10.964193774865434
Spokane	5838	49	98	192	366	4713	420	80.72970195272353	12.076053442959918	7.194244604316546
Stevens	664	3	3	36	79	477	66	71.83734939759037	18.22289156626506	9.939759036144578
Thurston	3035	18	30	98	229	2432	228	80.1317957166392	12.355848434925864	7.512355848434926
Wahkiakum	31	0	0	0	1	26	4	83.87096774193549	3.225806451612903	12.903225806451612
Walla Walla	635	4	0	13	37	541	40	85.19685039370079	8.503937007874015	6.299212598425196
Whatcom	2139	20	36	96	129	1638	220	76.57784011220197	13.1369798971482	10.285179990649837
Whitman	343	2	3	7	7	309	15	90.0874635568513	5.539358600583091	4.373177842565598
Yakima	3256	37	49	149	275	2345	401	72.02088452088452	15.663390663390665	12.315724815724815
